Time,Formula 1: (Worldwide)
2023-11-26T07:54:00,38
2023-11-26T07:55:00,37
2023-11-26T07:56:00,35
2023-11-26T07:57:00,36
2023-11-26T07:58:00,39
2023-11-26T07:59:00,34
2023-11-26T08:00:00,37
2023-11-26T08:01:00,38
2023-11-26T08:02:00,37
2023-11-26T08:03:00,35
2023-11-26T08:04:00,39
2023-11-26T08:05:00,36
2023-11-26T08:06:00,38
2023-11-26T08:07:00,36
2023-11-26T08:08:00,36
2023-11-26T08:09:00,37
2023-11-26T08:10:00,37
2023-11-26T08:11:00,38
2023-11-26T08:12:00,39
2023-11-26T08:13:00,39
2023-11-26T08:14:00,35
2023-11-26T08:15:00,34
2023-11-26T08:16:00,34
2023-11-26T08:17:00,42
2023-11-26T08:18:00,77
2023-11-26T08:19:00,74
2023-11-26T08:20:00,47
2023-11-26T08:21:00,42
2023-11-26T08:22:00,48
2023-11-26T08:23:00,44
2023-11-26T08:24:00,58
2023-11-26T08:25:00,100
2023-11-26T08:26:00,56
2023-11-26T08:27:00,48
2023-11-26T08:28:00,44
2023-11-26T08:29:00,38
2023-11-26T08:30:00,37
2023-11-26T08:31:00,42
2023-11-26T08:32:00,53
2023-11-26T08:33:00,72
2023-11-26T08:34:00,77
2023-11-26T08:35:00,71
2023-11-26T08:36:00,76
2023-11-26T08:37:00,69
2023-11-26T08:38:00,75
2023-11-26T08:39:00,75
2023-11-26T08:40:00,64
2023-11-26T08:41:00,67
2023-11-26T08:42:00,63
2023-11-26T08:43:00,67
2023-11-26T08:44:00,70
2023-11-26T08:45:00,72
2023-11-26T08:46:00,62
2023-11-26T08:47:00,60
2023-11-26T08:48:00,54
2023-11-26T08:49:00,60
2023-11-26T08:50:00,60
