Time,formula 1: (Worldwide)
2023-04-30T08:54:00,53
2023-04-30T08:55:00,56
2023-04-30T08:56:00,62
2023-04-30T08:57:00,58
2023-04-30T08:58:00,56
2023-04-30T08:59:00,56
2023-04-30T09:00:00,56
2023-04-30T09:01:00,56
2023-04-30T09:02:00,60
2023-04-30T09:03:00,55
2023-04-30T09:04:00,58
2023-04-30T09:05:00,54
2023-04-30T09:06:00,56
2023-04-30T09:07:00,57
2023-04-30T09:08:00,56
2023-04-30T09:09:00,58
2023-04-30T09:10:00,57
2023-04-30T09:11:00,58
2023-04-30T09:12:00,59
2023-04-30T09:13:00,56
2023-04-30T09:14:00,57
2023-04-30T09:15:00,58
2023-04-30T09:16:00,62
2023-04-30T09:17:00,61
2023-04-30T09:18:00,58
2023-04-30T09:19:00,56
2023-04-30T09:20:00,62
2023-04-30T09:21:00,61
2023-04-30T09:22:00,63
2023-04-30T09:23:00,63
2023-04-30T09:24:00,61
2023-04-30T09:25:00,61
2023-04-30T09:26:00,66
2023-04-30T09:27:00,63
2023-04-30T09:28:00,66
2023-04-30T09:29:00,67
2023-04-30T09:30:00,68
2023-04-30T09:31:00,63
2023-04-30T09:32:00,64
2023-04-30T09:33:00,58
2023-04-30T09:34:00,58
2023-04-30T09:35:00,61
2023-04-30T09:36:00,64
2023-04-30T09:37:00,62
2023-04-30T09:38:00,79
2023-04-30T09:39:00,91
2023-04-30T09:40:00,93
2023-04-30T09:41:00,100
2023-04-30T09:42:00,91
2023-04-30T09:43:00,84
2023-04-30T09:44:00,86
2023-04-30T09:45:00,81
2023-04-30T09:46:00,86
2023-04-30T09:47:00,82
2023-04-30T09:48:00,76
2023-04-30T09:49:00,76
