Time,formula 1: (Worldwide)
2023-06-04T08:51:00:00,56
2023-06-04T08:52:00:00,59
2023-06-04T08:53:00:00,58
2023-06-04T08:54:00:00,61
2023-06-04T08:55:00:00,58
2023-06-04T08:56:00:00,59
2023-06-04T08:57:00:00,58
2023-06-04T08:58:00:00,57
2023-06-04T08:59:00:00,58
2023-06-04T09:00:00:00,58
2023-06-04T09:01:00:00,57
2023-06-04T09:02:00:00,56
2023-06-04T09:03:00:00,57
2023-06-04T09:04:00:00,53
2023-06-04T09:05:00:00,57
2023-06-04T09:06:00:00,56
2023-06-04T09:07:00:00,59
2023-06-04T09:08:00:00,57
2023-06-04T09:09:00:00,58
2023-06-04T09:10:00:00,57
2023-06-04T09:11:00:00,53
2023-06-04T09:12:00:00,52
2023-06-04T09:13:00:00,59
2023-06-04T09:14:00:00,61
2023-06-04T09:15:00:00,63
2023-06-04T09:16:00:00,61
2023-06-04T09:17:00:00,63
2023-06-04T09:18:00:00,59
2023-06-04T09:19:00:00,60
2023-06-04T09:20:00:00,63
2023-06-04T09:21:00:00,63
2023-06-04T09:22:00:00,62
2023-06-04T09:23:00:00,61
2023-06-04T09:24:00:00,66
2023-06-04T09:25:00:00,64
2023-06-04T09:26:00:00,64
2023-06-04T09:27:00:00,61
2023-06-04T09:28:00:00,64
2023-06-04T09:29:00:00,62
2023-06-04T09:30:00:00,58
2023-06-04T09:31:00:00,67
2023-06-04T09:32:00:00,76
2023-06-04T09:33:00:00,96
2023-06-04T09:34:00:00,100
2023-06-04T09:35:00:00,81
2023-06-04T09:36:00:00,90
2023-06-04T09:37:00:00,99
2023-06-04T09:38:00:00,88
2023-06-04T09:39:00:00,86
2023-06-04T09:40:00:00,82
2023-06-04T09:41:00:00,79
2023-06-04T09:42:00:00,79
2023-06-04T09:43:00:00,72
2023-06-04T09:44:00:00,82
2023-06-04T09:45:00:00,77
2023-06-04T09:46:00:00,77
