Time,formula 1: (Worldwide)
2023-07-30T09:46:00,53
2023-07-30T09:47:00,58
2023-07-30T09:48:00,58
2023-07-30T09:49:00,55
2023-07-30T09:50:00,58
2023-07-30T09:51:00,60
2023-07-30T09:52:00,61
2023-07-30T09:53:00,60
2023-07-30T09:54:00,62
2023-07-30T09:55:00,59
2023-07-30T09:56:00,60
2023-07-30T09:57:00,56
2023-07-30T09:58:00,57
2023-07-30T09:59:00,54
2023-07-30T10:00:00,58
2023-07-30T10:01:00,55
2023-07-30T10:02:00,59
2023-07-30T10:03:00,59
2023-07-30T10:04:00,58
2023-07-30T10:05:00,49
2023-07-30T10:06:00,60
2023-07-30T10:07:00,60
2023-07-30T10:08:00,61
2023-07-30T10:09:00,60
2023-07-30T10:10:00,58
2023-07-30T10:11:00,62
2023-07-30T10:12:00,59
2023-07-30T10:13:00,60
2023-07-30T10:14:00,63
2023-07-30T10:15:00,56
2023-07-30T10:16:00,56
2023-07-30T10:17:00,55
2023-07-30T10:18:00,66
2023-07-30T10:19:00,68
2023-07-30T10:20:00,62
2023-07-30T10:21:00,64
2023-07-30T10:22:00,64
2023-07-30T10:23:00,60
2023-07-30T10:24:00,65
2023-07-30T10:25:00,60
2023-07-30T10:26:00,64
2023-07-30T10:27:00,69
2023-07-30T10:28:00,91
2023-07-30T10:29:00,90
2023-07-30T10:30:00,100
2023-07-30T10:31:00,98
2023-07-30T10:32:00,90
2023-07-30T10:33:00,94
2023-07-30T10:34:00,84
2023-07-30T10:35:00,80
2023-07-30T10:36:00,80
2023-07-30T10:37:00,70
2023-07-30T10:38:00,71
2023-07-30T10:39:00,73
2023-07-30T10:40:00,74
2023-07-30T10:41:00,72
