Time,formula 1: (Worldwide)
2023-06-18T13:58:00,43
2023-06-18T13:59:00,46
2023-06-18T14:00:00,43
2023-06-18T14:01:00,45
2023-06-18T14:02:00,45
2023-06-18T14:03:00,47
2023-06-18T14:04:00,45
2023-06-18T14:05:00,43
2023-06-18T14:06:00,46
2023-06-18T14:07:00,45
2023-06-18T14:08:00,45
2023-06-18T14:09:00,44
2023-06-18T14:10:00,44
2023-06-18T14:11:00,45
2023-06-18T14:12:00,51
2023-06-18T14:13:00,52
2023-06-18T14:14:00,54
2023-06-18T14:15:00,51
2023-06-18T14:16:00,51
2023-06-18T14:17:00,49
2023-06-18T14:18:00,51
2023-06-18T14:19:00,55
2023-06-18T14:20:00,53
2023-06-18T14:21:00,56
2023-06-18T14:22:00,50
2023-06-18T14:23:00,52
2023-06-18T14:24:00,54
2023-06-18T14:25:00,53
2023-06-18T14:26:00,60
2023-06-18T14:27:00,57
2023-06-18T14:28:00,56
2023-06-18T14:29:00,53
2023-06-18T14:30:00,56
2023-06-18T14:31:00,80
2023-06-18T14:32:00,82
2023-06-18T14:33:00,64
2023-06-18T14:34:00,53
2023-06-18T14:35:00,56
2023-06-18T14:36:00,56
2023-06-18T14:37:00,60
2023-06-18T14:38:00,64
2023-06-18T14:39:00,83
2023-06-18T14:40:00,81
2023-06-18T14:41:00,79
2023-06-18T14:42:00,100
2023-06-18T14:43:00,84
2023-06-18T14:44:00,83
2023-06-18T14:45:00,87
2023-06-18T14:46:00,78
2023-06-18T14:47:00,79
2023-06-18T14:48:00,67
2023-06-18T14:49:00,73
2023-06-18T14:50:00,64
2023-06-18T14:51:00,61
2023-06-18T14:52:00,62
