Time,formula 1: (Worldwide)
2023-07-23T10:04:00,56
2023-07-23T10:05:00,55
2023-07-23T10:06:00,58
2023-07-23T10:07:00,55
2023-07-23T10:08:00,56
2023-07-23T10:09:00,57
2023-07-23T10:10:00,58
2023-07-23T10:11:00,59
2023-07-23T10:12:00,59
2023-07-23T10:13:00,59
2023-07-23T10:14:00,66
2023-07-23T10:15:00,63
2023-07-23T10:16:00,61
2023-07-23T10:17:00,60
2023-07-23T10:18:00,66
2023-07-23T10:19:00,63
2023-07-23T10:20:00,63
2023-07-23T10:21:00,64
2023-07-23T10:22:00,65
2023-07-23T10:23:00,55
2023-07-23T10:24:00,63
2023-07-23T10:25:00,63
2023-07-23T10:26:00,65
2023-07-23T10:27:00,63
2023-07-23T10:28:00,62
2023-07-23T10:29:00,65
2023-07-23T10:30:00,60
2023-07-23T10:31:00,64
2023-07-23T10:32:00,68
2023-07-23T10:33:00,66
2023-07-23T10:34:00,63
2023-07-23T10:35:00,60
2023-07-23T10:36:00,63
2023-07-23T10:37:00,69
2023-07-23T10:38:00,61
2023-07-23T10:39:00,60
2023-07-23T10:40:00,59
2023-07-23T10:41:00,67
2023-07-23T10:42:00,83
2023-07-23T10:43:00,95
2023-07-23T10:44:00,99
2023-07-23T10:45:00,92
2023-07-23T10:46:00,100
2023-07-23T10:47:00,93
2023-07-23T10:48:00,96
2023-07-23T10:49:00,92
2023-07-23T10:50:00,90
2023-07-23T10:51:00,85
2023-07-23T10:52:00,85
2023-07-23T10:53:00,84
2023-07-23T10:54:00,80
2023-07-23T10:55:00,76
2023-07-23T10:56:00,81
2023-07-23T10:57:00,79
2023-07-23T10:58:00,76
2023-07-23T10:59:00,71
2023-07-23T11:00:00,77
