Time,formula 1: (Worldwide)
2023-11-19T00:45:00,49
2023-11-19T00:46:00,60
2023-11-19T00:47:00,56
2023-11-19T00:48:00,56
2023-11-19T00:49:00,52
2023-11-19T00:50:00,51
2023-11-19T00:51:00,52
2023-11-19T00:52:00,47
2023-11-19T00:53:00,49
2023-11-19T00:54:00,60
2023-11-19T00:55:00,60
2023-11-19T00:56:00,58
2023-11-19T00:57:00,54
2023-11-19T00:58:00,54
2023-11-19T00:59:00,51
2023-11-19T01:00:00,60
2023-11-19T01:01:00,59
2023-11-19T01:02:00,67
2023-11-19T01:03:00,58
2023-11-19T01:04:00,56
2023-11-19T01:05:00,60
2023-11-19T01:06:00,55
2023-11-19T01:07:00,55
2023-11-19T01:08:00,66
2023-11-19T01:09:00,58
2023-11-19T01:10:00,58
2023-11-19T01:11:00,51
2023-11-19T01:12:00,60
2023-11-19T01:13:00,62
2023-11-19T01:14:00,68
2023-11-19T01:15:00,61
2023-11-19T01:16:00,63
2023-11-19T01:17:00,74
2023-11-19T01:18:00,76
2023-11-19T01:19:00,62
2023-11-19T01:20:00,59
2023-11-19T01:21:00,58
2023-11-19T01:22:00,61
2023-11-19T01:23:00,57
2023-11-19T01:24:00,62
2023-11-19T01:25:00,58
2023-11-19T01:26:00,62
2023-11-19T01:27:00,57
2023-11-19T01:28:00,61
2023-11-19T01:29:00,71
2023-11-19T01:30:00,57
2023-11-19T01:31:00,57
2023-11-19T01:32:00,56
2023-11-19T01:33:00,54
2023-11-19T01:34:00,77
2023-11-19T01:35:00,100
2023-11-19T01:36:00,99
2023-11-19T01:37:00,97
2023-11-19T01:38:00,99
2023-11-19T01:39:00,95
2023-11-19T01:40:00,96
2023-11-19T01:41:00,93
