Time,formula 1: (Worldwide)
2023-05-07T15:16:00,56
2023-05-07T15:17:00,54
2023-05-07T15:18:00,57
2023-05-07T15:19:00,57
2023-05-07T15:20:00,53
2023-05-07T15:21:00,56
2023-05-07T15:22:00,54
2023-05-07T15:23:00,54
2023-05-07T15:24:00,56
2023-05-07T15:25:00,51
2023-05-07T15:26:00,58
2023-05-07T15:27:00,58
2023-05-07T15:28:00,56
2023-05-07T15:29:00,59
2023-05-07T15:30:00,57
2023-05-07T15:31:00,62
2023-05-07T15:32:00,58
2023-05-07T15:33:00,53
2023-05-07T15:34:00,54
2023-05-07T15:35:00,55
2023-05-07T15:36:00,53
2023-05-07T15:37:00,57
2023-05-07T15:38:00,55
2023-05-07T15:39:00,56
2023-05-07T15:40:00,56
2023-05-07T15:41:00,57
2023-05-07T15:42:00,59
2023-05-07T15:43:00,56
2023-05-07T15:44:00,56
2023-05-07T15:45:00,57
2023-05-07T15:46:00,60
2023-05-07T15:47:00,58
2023-05-07T15:48:00,59
2023-05-07T15:49:00,65
2023-05-07T15:50:00,71
2023-05-07T15:51:00,63
2023-05-07T15:52:00,61
2023-05-07T15:53:00,63
2023-05-07T15:54:00,67
2023-05-07T15:55:00,65
2023-05-07T15:56:00,67
2023-05-07T15:57:00,62
2023-05-07T15:58:00,65
2023-05-07T15:59:00,71
2023-05-07T16:00:00,71
2023-05-07T16:01:00,70
2023-05-07T16:02:00,70
2023-05-07T16:03:00,84
2023-05-07T16:04:00,100
2023-05-07T16:05:00,90
2023-05-07T16:06:00,84
2023-05-07T16:07:00,87
2023-05-07T16:08:00,85
2023-05-07T16:09:00,79
2023-05-07T16:10:00,78
2023-05-07T16:11:00,86
2023-05-07T16:12:00,73
