Time,formula 1: (Worldwide)
2023-05-28T09:13:00,66
2023-05-28T09:14:00,59
2023-05-28T09:15:00,62
2023-05-28T09:16:00,66
2023-05-28T09:17:00,66
2023-05-28T09:18:00,64
2023-05-28T09:19:00,67
2023-05-28T09:20:00,66
2023-05-28T09:21:00,64
2023-05-28T09:22:00,66
2023-05-28T09:23:00,69
2023-05-28T09:24:00,66
2023-05-28T09:25:00,67
2023-05-28T09:26:00,65
2023-05-28T09:27:00,69
2023-05-28T09:28:00,69
2023-05-28T09:29:00,69
2023-05-28T09:30:00,69
2023-05-28T09:31:00,70
2023-05-28T09:32:00,71
2023-05-28T09:33:00,70
2023-05-28T09:34:00,68
2023-05-28T09:35:00,75
2023-05-28T09:36:00,73
2023-05-28T09:37:00,76
2023-05-28T09:38:00,76
2023-05-28T09:39:00,71
2023-05-28T09:40:00,71
2023-05-28T09:41:00,73
2023-05-28T09:42:00,69
2023-05-28T09:43:00,69
2023-05-28T09:44:00,67
2023-05-28T09:45:00,71
2023-05-28T09:46:00,71
2023-05-28T09:47:00,75
2023-05-28T09:48:00,75
2023-05-28T09:49:00,72
2023-05-28T09:50:00,70
2023-05-28T09:51:00,75
2023-05-28T09:52:00,78
2023-05-28T09:53:00,90
2023-05-28T09:54:00,98
2023-05-28T09:55:00,100
2023-05-28T09:56:00,88
2023-05-28T09:57:00,93
2023-05-28T09:58:00,88
2023-05-28T09:59:00,86
2023-05-28T10:00:00,86
2023-05-28T10:01:00,85
2023-05-28T10:02:00,82
2023-05-28T10:03:00,80
2023-05-28T10:04:00,76
2023-05-28T10:05:00,74
2023-05-28T10:06:00,78
2023-05-28T10:07:00,73
2023-05-28T10:08:00,76
