Time,formula 1: (Worldwide)
2023-09-03T09:01:00,62
2023-09-03T09:02:00,59
2023-09-03T09:03:00,56
2023-09-03T09:04:00,58
2023-09-03T09:05:00,60
2023-09-03T09:06:00,63
2023-09-03T09:07:00,60
2023-09-03T09:08:00,55
2023-09-03T09:09:00,60
2023-09-03T09:10:00,62
2023-09-03T09:11:00,62
2023-09-03T09:12:00,65
2023-09-03T09:13:00,67
2023-09-03T09:14:00,67
2023-09-03T09:15:00,63
2023-09-03T09:16:00,66
2023-09-03T09:17:00,67
2023-09-03T09:18:00,63
2023-09-03T09:19:00,64
2023-09-03T09:20:00,66
2023-09-03T09:21:00,64
2023-09-03T09:22:00,65
2023-09-03T09:23:00,58
2023-09-03T09:24:00,59
2023-09-03T09:25:00,60
2023-09-03T09:26:00,61
2023-09-03T09:27:00,57
2023-09-03T09:28:00,59
2023-09-03T09:29:00,60
2023-09-03T09:30:00,67
2023-09-03T09:31:00,68
2023-09-03T09:32:00,67
2023-09-03T09:33:00,63
2023-09-03T09:34:00,63
2023-09-03T09:35:00,62
2023-09-03T09:36:00,64
2023-09-03T09:37:00,72
2023-09-03T09:38:00,87
2023-09-03T09:39:00,100
2023-09-03T09:40:00,96
2023-09-03T09:41:00,89
2023-09-03T09:42:00,91
2023-09-03T09:43:00,91
2023-09-03T09:44:00,89
2023-09-03T09:45:00,91
2023-09-03T09:46:00,90
2023-09-03T09:47:00,90
2023-09-03T09:48:00,86
2023-09-03T09:49:00,81
2023-09-03T09:50:00,79
2023-09-03T09:51:00,76
2023-09-03T09:52:00,81
2023-09-03T09:53:00,84
2023-09-03T09:54:00,70
2023-09-03T09:55:00,76
2023-09-03T09:56:00,79
