Time,formula 1: (Worldwide)
2023-11-05T12:13:00,50
2023-11-05T12:14:00,50
2023-11-05T12:15:00,52
2023-11-05T12:16:00,50
2023-11-05T12:17:00,50
2023-11-05T12:18:00,50
2023-11-05T12:19:00,53
2023-11-05T12:20:00,51
2023-11-05T12:21:00,49
2023-11-05T12:22:00,51
2023-11-05T12:23:00,54
2023-11-05T12:24:00,53
2023-11-05T12:25:00,56
2023-11-05T12:26:00,51
2023-11-05T12:27:00,51
2023-11-05T12:28:00,51
2023-11-05T12:29:00,50
2023-11-05T12:30:00,50
2023-11-05T12:31:00,51
2023-11-05T12:32:00,48
2023-11-05T12:33:00,50
2023-11-05T12:34:00,53
2023-11-05T12:35:00,53
2023-11-05T12:36:00,55
2023-11-05T12:37:00,50
2023-11-05T12:38:00,55
2023-11-05T12:39:00,50
2023-11-05T12:40:00,52
2023-11-05T12:41:00,53
2023-11-05T12:42:00,57
2023-11-05T12:43:00,52
2023-11-05T12:44:00,53
2023-11-05T12:45:00,54
2023-11-05T12:46:00,51
2023-11-05T12:47:00,51
2023-11-05T12:48:00,58
2023-11-05T12:49:00,53
2023-11-05T12:50:00,58
2023-11-05T12:51:00,58
2023-11-05T12:52:00,59
2023-11-05T12:53:00,69
2023-11-05T12:54:00,65
2023-11-05T12:55:00,62
2023-11-05T12:56:00,58
2023-11-05T12:57:00,56
2023-11-05T12:58:00,55
2023-11-05T12:59:00,56
2023-11-05T13:00:00,56
2023-11-05T13:01:00,60
2023-11-05T13:02:00,77
2023-11-05T13:03:00,82
2023-11-05T13:04:00,82
2023-11-05T13:05:00,81
2023-11-05T13:06:00,99
2023-11-05T13:07:00,99
2023-11-05T13:08:00,100
2023-11-05T13:09:00,90
